"ID_ejemploUso","ID_competencia","ID_area","Idioma","Nivel","Escenario","Objetivo","Contexto","Texto"
27,3,2,"Español","5","Formativo","preparar el trabajo en grupo con mis compañeros",,"Puedo proponer y utilizar diferentes micro-blogs (por ejemplo, Twitter), blogs y wikis, para una consulta pública sobre la inclusión social de las personas migrantes en mi barrio para recoger propuestas sobre el tema del trabajo en grupo."
27,3,2,"Inglés","5","Learning","prepare group work with my classmates",,"I can propose and use different micro-blogs (e.g. Twitter), blogs and wikis, for a public consultation regarding social inclusion of migrants in my neighbourhood to collect proposals on the topic of the group work."
28,3,2,"Español","5","Formativo","preparar el trabajo en grupo con mis compañeros",,"Puedo informar a mis compañeros sobre estas plataformas digitales y orientarles sobre cómo utilizar una determinada para potenciar la participación ciudadana en su barrio."
28,3,2,"Inglés","5","Learning","prepare group work with my classmates",,"I can inform my classmates about these digital platforms and guide them on how to use a particular one to empower citizenship participation in their neighbourhood."
29,4,2,"Español","5","Laboral","organizar un evento",,"Puedo utilizar las herramientas digitales más adecuadas en el trabajo (por ejemplo, Dropbox, Google Drive, wiki) para crear con mis colegas un folleto y un blog sobre el evento."
29,4,2,"Inglés","5","Employment","organise an event",,"I can use the most appropriate digital tools at work (e.g. Dropbox, Google Drive, wiki) to create with my colleagues a leaflet and a blog on the event."
30,4,2,"Español","5","Laboral","organizar un evento",,"También puedo diferenciar entre las herramientas digitales adecuadas e inadecuadas para los procesos de colaboración. Las segundas son aquellas herramientas que no se ajustan al propósito y al alcance de la tarea: por ejemplo, dos personas editando un tex"
30,4,2,"Inglés","5","Employment","organise an event",,"I can also differentiate between appropriate and inappropriate digital tools for collaborative processes. The latter are those tools that do not address the purpose and scope of the task - e.g. two people editing text simultaneously using a wiki is imprac"
31,4,2,"Español","5","Laboral","organizar un evento",,"Puedo superar las situaciones imprevistas que pueden surgir en el entorno digital al cocrear el folleto y el blog (por ejemplo, controlar el acceso para editar los documentos o que un colega no pueda guardar los cambios en el material)."
31,4,2,"Inglés","5","Employment","organise an event",,"I can overcome unexpected situations that can arise in the digital environment when co-creating the leaflet and the blog (e.g. controlling access to edit documents or a colleague cannot save changes to the material)."
32,4,2,"Español","5","Formativo","Preparación de un trabajo en grupo con mis compañeros",,"Puedo utilizar los recursos digitales más adecuados para crear un vídeo relacionado con el trabajo en mi tableta con mis compañeros. También puedo diferenciar los recursos digitales adecuados e inadecuados para crear este vídeo y trabajar en un entorno di"
32,4,2,"Inglés","5","Learning","prepare group work with my classmates",,"I can use the most appropriate digital resources in order to create a video related to the work on my tablet with my classmates. I can also differentiate between appropriate and inappropriate digital resources to create this video and work in a digital en"
33,4,2,"Español","5","Formativo","Preparación de un trabajo en grupo con mis compañeros",,"Puedo superar las situaciones inesperadas que surgen en el entorno digital cuando se cocrean datos y contenidos y se realiza un vídeo sobre el trabajo en grupo (por ejemplo, un archivo no actualiza los cambios realizados por los miembros, un miembro no sa"
33,4,2,"Inglés","5","Learning","prepare group work with my classmates",,"I can overcome unexpected situations that arise on the digital environment when co-creating data and content and making a video on group work. (e.g. a file is not updating the changes made by the members, a member doesn’t know how to upload a file in the "
34,5,2,"Español","7","Laboral","organizar un evento",,"Al organizar un evento para mi organización, puedo resolver los problemas que surgen al escribir y comunicar en entornos digitales, (por ejemplo, comentarios inapropiados sobre mi organización en una red social)."
34,5,2,"Inglés","7","Employment","organise an event",,"While organising an event for my organisation, I can solve problems that arise while writing and communicating in digital environments, (e.g. inappropriate comments about my organisation in a social network)."
35,5,2,"Español","7","Laboral","organizar un evento",,"Puedo crear reglas a partir de esta práctica para que mis colegas actuales y futuros las apliquen y las utilicen como guía."
35,5,2,"Inglés","7","Employment","organise an event",,"I can create rules from this practice for my current and future colleagues to implement and use as a guide."
36,5,2,"Español","7","Formativo","Preparación de un trabajo en grupo con mis compañeros",,"Puedo resolver los problemas de etiqueta que surgen con mis compañeros al utilizar una plataforma digital colaborativa (blog, wiki, etc.) para el trabajo en grupo (por ejemplo, compañeros que se critican entre sí)."
36,5,2,"Inglés","7","Learning","prepare group work with my classmates",,"I can solve problems of etiquette that arise with my classmates while using a digital collaborative platform (blog, wiki, etc.) for group work (e.g. classmates criticising each other)."
37,5,2,"Español","7","Formativo","Preparación de un trabajo en grupo con mis compañeros",,"Puedo crear normas de comportamiento adecuado mientras trabajo en línea como grupo, que pueden utilizarse y compartirse en el entorno de aprendizaje digital de la escuela. También puedo orientar a mis compañeros sobre lo que constituye un comportamiento d"
37,5,2,"Inglés","7","Learning","prepare group work with my classmates",,"I can create rules for appropriate behaviour while working online as a group which can be used and shared in the school’s digital learning environment. I can also guide my classmates as to what constitutes appropriate digital behaviour while working with "
38,6,2,"Español","8","Laboral","organizar un evento",,"Puedo proponer a mi responsable un nuevo procedimiento para las redes sociales que evite acciones que puedan dañar la reputación digital de nuestra empresa (por ejemplo, el spam) al promocionar los eventos de la empresa"
38,6,2,"Inglés","8","Employment","organise an event",,"I can propose to my boss a new social media procedure that avoids actions which could harm our company’s digital reputation (e.g. spam) when promoting the company’s events."
39,6,2,"Español","8","Formativo","Preparación de un trabajo en grupo con mis compañeros",,"Puedo proponer a mi centro educativo un nuevo procedimiento que evite la publicación de contenidos digitales (textos, imágenes, vídeos) que puedan dañar la reputación de los alumnos y alumnas."
39,6,2,"Inglés","8","Learning","prepare group work with my classmates",,"I can propose a new procedure to my school that avoids the publication of digital content (texts, pictures, videos), that can harm the students’ reputation."
40,1,3,"Español","1","Laboral","desarrollar un curso corto (tutorial) para formar al personal en un nuevo procedimiento que se aplicará en la organización.","Con la ayuda de un colega (que tiene competencias digitales avanzadas y al que puedo consultar siempre que lo necesite) y teniendo como apoyo un vídeo tutorial con los pasos de cómo hacerlo:","Puedo averiguar cómo añadir nuevos diálogos e imágenes a un breve vídeo de apoyo ya creado en la intranet para ilustrar los nuevos procedimientos organizativos"
40,1,3,"Inglés","1","Employment","develop a short course (tutorial) to train the staff on a new procedure to be applied in the organisation","With the help of a colleague (who has advanced digital competence and who I can consult whenever I need) and having as support a tutorial video with the steps on how to do it:","I can find out how to add new dialogues and images onto a brief support video already created on the intranet to illustrate the new organisational procedures."
41,1,3,"Español","1","Formativo","Preparar una presentación sobre un tema determinado que haré a mis compañeros","Ayudado por mi profesor o profesora:","Puedo averiguar cómo crear una presentación digital animada, utilizando un videotutorial de YouTube proporcionado por mi profesor o profesora para ayudarme a presentar mi trabajo a mis compañeros."
41,1,3,"Inglés","1","Learning","prepare a presentation on a certain topic that I will make to my classmates","Helped by my teacher:","I can find out how to create a digital animated presentation, using a video tutorial from YouTube provided by my teacher to help me to present my work to my classmates."
42,1,3,"Español","1","Formativo","Preparar una presentación sobre un tema determinado que haré a mis compañeros","Ayudado por mi profesor o profesora:","También puedo identificar otros medios digitales a partir de un artículo de mi libro de texto que puede ayudarme a presentar el trabajo como una presentación digital animada a mis compañeros en la pizarra digital interactiva."
42,1,3,"Inglés","1","Learning","prepare a presentation on a certain topic that I will make to my classmates","Helped by my teacher:","I can also identify other digital means from an article in my textbook that can help me to present the work as an animated digital presentation to my classmates on the interactive digital whiteboard."
43,2,3,"Español","2","Laboral","Desarrollo de un curso corto (tutorial) para formar a la plantilla sobre un nuevo procedimiento que se aplicará en la organización","Con la ayuda de un colega (que tiene competencias digitales avanzadas y al que puedo consultar siempre que lo necesite) y teniendo como apoyo un vídeo tutorial con los pasos de cómo hacerlo:","Puedo averiguar cómo añadir nuevos diálogos e imágenes a un breve vídeo de apoyo ya creado en la intranet para ilustrar los nuevos procedimientos organizativos."
43,2,3,"Inglés","2","Employment","develop a short course (tutorial) to train the staff on a new procedure to be applied in the organisation","With the help of a colleague (who has advanced digital competence and who I can consult whenever I need) and having as support a tutorial video with the steps on how to do it","I can find out how to add new dialogues and images onto a brief support video already created on the intranet to illustrate the new organisational procedures."
44,2,3,"Español","2","Formativo","Preparar una presentación sobre un tema determinado que haré a mis compañeros","En casa con mi madre (a la que puedo consultar siempre que lo necesite) y la ayuda de una lista (guardada en mi tableta proporcionada por mi profesor o profesora con los pasos de cómo hacerlo)","Puedo identificar cómo actualizar una presentación digital animada que he creado para presentar mi trabajo a mis compañeros, añadiendo texto, imágenes y efectos visuales para mostrarlos en el aula utilizando la pizarra digital interactiva."
44,2,3,"Inglés","2","Learning","prepare a presentation on a certain topic that I will make to my classmates","At home with my mother (who I can consult whenever I need) and the help of a list (stored on my tablet provided by my teacher with the steps on how to do it)","I can identify how to update a digital animated presentation I have created to present my work to my classmates, adding text, images and visual effects to be shown in the classroom using the interactive digital whiteboard."
45,3,3,"Español","3","Laboral","Desarrollo de un curso corto (tutorial) para formar a la plantilla sobre un nuevo procedimiento que se aplicará en la organización","Sin ayuda:","Puedo decirle a un colega qué bancos de imágenes suelo utilizar para encontrar imágenes que pueda descargar gratuitamente para un breve vídeo tutorial sobre un nuevo procedimiento para el personal de mi organización."
45,3,3,"Inglés","3","Employment","develop a short course (tutorial) to train the staff on a new procedure to be applied in the organisation","By myself:","I can tell a colleague which image banks I usually use to find images that I can download free of charge for a brief tutorial video on a new procedure for my organisation’s staff."
46,3,3,"Español","3","Laboral","Desarrollo de un curso corto (tutorial) para formar a la plantilla sobre un nuevo procedimiento que se aplicará en la organización","Sin ayuda:","Puedo resolver problemas como la identificación del símbolo que indica si una imagen tiene un determinado tipo de licencia Creative Commons y, por tanto, puede ser reutilizada sin el permiso del autor o autora."
46,3,3,"Inglés","3","Employment","develop a short course (tutorial) to train the staff on a new procedure to be applied in the organisation","By myself:","I can deal with problems such as identifying the symbol that indicates whether an image is licensed with a certain type of Creative Commons licence and therefore can be reused without the author’s permission."
47,3,3,"Español","3","Formativo","Preparar una presentación sobre un tema determinado que haré a mis compañeros","Sin ayuda:","Puedo explicarle a un amigo qué bancos de imágenes suelo utilizar para encontrar imágenes que puedo descargar de forma totalmente gratuita para crear una animación digital para presentar mi trabajo a mis compañeros."
47,3,3,"Inglés","3","Learning","prepare a presentation on a certain topic that I will make to my classmates","By myself:","I can explain to a friend which image banks I usually use to find images that I can download completely free of charge to create a digital animation to present my work to my classmates."
48,3,3,"Español","3","Formativo","Preparar una presentación sobre un tema determinado que haré a mis compañeros","Sin ayuda:","Puedo solucionar problemas como la identificación del símbolo que indica que una imagen está protegida por derechos de autor o autora y, por tanto, no puede utilizarse sin el permiso del autor o autora."
48,3,3,"Inglés","3","Learning","prepare a presentation on a certain topic that I will make to my classmates","By myself:","I can fix problems such as identifying the symbol that indicate that an image is copyrighted and therefore cannot be used without the author’s permission."
49,4,3,"Español","4","Laboral","Desarrollo de un curso corto (tutorial) para formar a la plantilla sobre un nuevo procedimiento que se aplicará en la organización",,"Utilizando un lenguaje de programación (por ejemplo, Ruby, Python), puedo proporcionar instrucciones para desarrollar un juego educativo para introducir el nuevo procedimiento que se aplicará en la organización"
49,4,3,"Inglés","4","Employment","develop a short course (tutorial) to train the staff on a new procedure to be applied in the organisation",,"Using a programming language (e.g. Ruby, Python), I can provide instructions to develop an educational game to introduce the new procedure to be applied in the organisation."
50,4,3,"Español","4","Laboral","Desarrollo de un curso corto (tutorial) para formar a la plantilla sobre un nuevo procedimiento que se aplicará en la organización",,"Puedo resolver cuestiones como la depuración del programa para solucionar problemas con mi código."
50,4,3,"Inglés","4","Employment","develop a short course (tutorial) to train the staff on a new procedure to be applied in the organisation",,"I can resolve issues such as debugging the programme to fix problems with my code."
51,4,3,"Español","4","Formativo","Preparar una presentación sobre un tema determinado que haré a mis compañeros",,"Utilizando una interfaz de programación gráfica sencilla (por ejemplo, Scratch Jr), puedo desarrollar una aplicación para teléfono inteligente que presente mi trabajo a mis compañeros."
51,4,3,"Inglés","4","Learning","prepare a presentation on a certain topic that I will make to my classmates",,"Using a simple graphical programming interface (e.g. Scratch Jr), I can develop a smartphone app that presents my work to my classmates."
52,4,3,"Español","4","Formativo","Preparar una presentación sobre un tema determinado que haré a mis compañeros",,"Si aparece un problema, sé cómo depurar el programa y puedo arreglar problemas fáciles en mi código."
52,4,3,"Inglés","4","Learning","prepare a presentation on a certain topic that I will make to my classmates",,"If a problem appears, I know how to debug the programme and I can fix easy problems in my code."
53,1,4,"Español","5","Laboral","Utilizar una cuenta de Twitter para compartir información sobre mi organización",,"Puedo proteger la cuenta corporativa de Twitter utilizando diferentes métodos (por ejemplo, una contraseña fuerte, controlar los inicios de sesión recientes) y mostrar a los nuevos colegas cómo hacerlo."
53,1,4,"Inglés","5","Employment","use of a Twitter account to share information on my organization",,"I can protect the corporate Twitter account using different methods (e.g. a strong password, control the recent logins) and show new colleagues how to do it."
54,1,4,"Español","5","Laboral","Utilizar una cuenta de Twitter para compartir información sobre mi organización",,"Puedo detectar riesgos como la recepción de tuits y mensajes de seguidores con perfiles falsos o intentos de phishing."
54,1,4,"Inglés","5","Employment","use of a Twitter account to share information on my organization",,"I can detect risks like receiving tweets and messages from followers with false profiles or phishing attempts."
55,1,4,"Español","5","Laboral","Utilizar una cuenta de Twitter para compartir información sobre mi organización",,"Puedo aplicar medidas para evitarlos (por ejemplo, controlar la configuración de privacidad)."
55,1,4,"Inglés","5","Employment","use of a Twitter account to share information on my organization",,"I can apply measures to avoid them (e.g. control the privacy settings)."
56,1,4,"Español","5","Laboral","Utilizar una cuenta de Twitter para compartir información sobre mi organización",,"También puedo ayudar a mis colegas a detectar los riesgos y las amenazas al utilizar Twitter."
56,1,4,"Inglés","5","Employment","use of a Twitter account to share information on my organization",,"I can also help my colleagues to detect risks and threats while using Twitter."
57,1,4,"Español","5","Formativo","uso de la plataforma digital de aprendizaje de la escuela para compartir información sobre temas de interés",,"Puedo proteger la información, los datos y el contenido de la plataforma de aprendizaje digital de mi centro educativo (por ejemplo, una contraseña segura, controlar los inicios de sesión recientes)."
57,1,4,"Inglés","5","Learning","use of the school’s digital learning platform to share information on interested topics",,"I can protect information, data and content on my school’s digital learning platform (e.g. a strong password, control the recent logins)."
58,1,4,"Español","5","Formativo","uso de la plataforma digital de aprendizaje de la escuela para compartir información sobre temas de interés",,"Puedo detectar diferentes riesgos y amenazas al acceder a la plataforma digital de la escuela y aplicar medidas para evitarlos (por ejemplo, cómo comprobar los virus de los archivos adjuntos antes de descargarlos)."
58,1,4,"Inglés","5","Learning","use of the school’s digital learning platform to share information on interested topics",,"I can detect different risks and threats when accessing school’s digital platform and apply measures to avoid them (e.g. how to viruscheck attachments before downloading)."
59,1,4,"Español","5","Formativo","uso de la plataforma digital de aprendizaje de la escuela para compartir información sobre temas de interés",,"También puedo ayudar a mis compañeros a detectar los riesgos y las amenazas durante el uso de la plataforma de aprendizaje digital en sus tabletas (por ejemplo, controlar quién puede acceder a los archivos)."
59,1,4,"Inglés","5","Learning","use of the school’s digital learning platform to share information on interested topics",,"I can also help my classmates to detect risks and threat while using the digital learning platform on their tablets (e.g. controlling who can access the files)."
60,2,4,"Español","6","Laboral","Utilizar una cuenta de Twitter para compartir información sobre mi organización",,"Puedo seleccionar la forma más adecuada de proteger los datos personales de mis colegas (por ejemplo, la dirección o el número de teléfono) al compartir contenido digital (por ejemplo, una foto) en la cuenta corporativa de Twitter."
60,2,4,"Inglés","6","Employment","use of a Twitter account to share information on my organization",,"I can select the most appropriate way to protect the personal data of my colleagues (e.g. address, phone number) when sharing digital content (e.g. a picture) on the corporate Twitter account."
61,2,4,"Español","6","Laboral","Utilizar una cuenta de Twitter para compartir información sobre mi organización",,"Sé distinguir entre el contenido digital adecuado y el inadecuado para compartirlo en la cuenta corporativa de Twitter, de modo que mi privacidad y la de mis colegas no se vean perjudicadas."
61,2,4,"Inglés","6","Employment","use of a Twitter account to share information on my organization",,"I can distinguish between appropriate and inappropriate digital content to share it on the corporate Twitter account, so that my privacy and that of my colleagues are not damaged."
62,2,4,"Español","6","Laboral","Utilizar una cuenta de Twitter para compartir información sobre mi organización",,"Puedo evaluar si los datos personales se utilizan en el Twitter corporativo de forma adecuada según la Ley Europea de Protección de Datos y el “derecho al olvido”."
62,2,4,"Inglés","6","Employment","use of a Twitter account to share information on my organization",,"I can assess whether personal data are used on the Corporate Twitter appropriately according to the European Data Protection Law and Right to be Forgotten."
63,2,4,"Español","6","Laboral","Utilizar una cuenta de Twitter para compartir información sobre mi organización",,"Puedo hacer frente a las situaciones complejas que pueden surgir con los datos personales de mi organización mientras estoy en Twitter, como eliminar fotos o nombres para proteger la información personal de acuerdo con la Ley Europea de Protección de Dato"
63,2,4,"Inglés","6","Employment","use of a Twitter account to share information on my organization",,"I can deal with complex situations that can arise with personal data in my organisation while on Twitter, such as removing pictures or names to protect personal information in accordance with the European Data Protection Law and Right to be Forgotten."
64,2,4,"Español","6","Formativo","uso de la plataforma digital de aprendizaje de la escuela para compartir información sobre temas de interés",,"Puedo seleccionar la forma más adecuada de proteger mis datos personales (por ejemplo, dirección, número de teléfono), antes de compartirlos en la plataforma digital de la escuela."
64,2,4,"Inglés","6","Learning","use of the school’s digital learning platform to share information on interested topics",,"I can select the most appropriate way to protect my personal data (e.g. address, phone number), before sharing it on the school’s digital platform."
65,2,4,"Español","6","Formativo","uso de la plataforma digital de aprendizaje de la escuela para compartir información sobre temas de interés",,"Sé distinguir entre los contenidos digitales apropiados e inapropiados para compartirlos en la plataforma digital de mi colegio, de manera que no se dañe mi privacidad ni la de mis compañeros."
65,2,4,"Inglés","6","Learning","use of the school’s digital learning platform to share information on interested topics",,"I can distinguish between appropriate and inappropriate digital content to share it on my school’s digital platform, so that my privacy and that of my classmates are not damaged."
66,2,4,"Español","6","Formativo","uso de la plataforma digital de aprendizaje de la escuela para compartir información sobre temas de interés",,"Puedo evaluar si la forma en que se utilizan mis datos personales en la plataforma digital es adecuada y aceptable en lo que respecta a mis derechos y mi privacidad."
66,2,4,"Inglés","6","Learning","use of the school’s digital learning platform to share information on interested topics",,"I can assess whether the way my personal data are used on the digital platform is appropriate and acceptable as regards my rights and privacy."
67,2,4,"Español","6","Formativo","uso de la plataforma digital de aprendizaje de la escuela para compartir información sobre temas de interés",,"Puedo superar las situaciones complejas que pueden surgir con mis datos personales y los de mis compañeros de clase mientras están en la plataforma educativa digital, como los datos personales no se utilizan de acuerdo a la “Política de privacidad” de la "
